title,author,length
Pageboy,Elliot Page,Length: 8 hrs and 23 mins
Unsouled,Will Wight,Length: 8 hrs and 52 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell",Length: 28 hrs and 3 mins
Waybound,Will Wight,Length: 16 hrs and 13 mins
Hábitos atómicos,James Clear,Length: 9 hrs and 1 min
The Return of the Gods,Jonathan Cahn,Length: 8 hrs and 34 mins
Operational Issues Financial Investigations Guidance,Eva Valdez,Length: 1 hr and 58 mins
Your Next Five Moves,Patrick Bet-David,Length: 8 hrs and 6 mins
Layla,Colleen Hoover,Length: 8 hrs and 10 mins
Then She Was Gone,Lisa Jewell,Length: 10 hrs and 12 mins
The 7 Habits of Highly Effective People,"Sean Covey,Jim Collins - foreword,Stephen R. Covey",Length: 15 hrs and 7 mins
The Obsession,Nora Roberts,Length: 14 hrs and 19 mins
Hidden Genius,Polina Marinova Pompliano,Length: 4 hrs and 51 mins
Simply Lies,David Baldacci,Length: 11 hrs and 45 mins
The Last Thing He Told Me,Laura Dave,Length: 8 hrs and 49 mins
Chaos,"Tom O'Neill,Dan Piepenbring",Length: 16 hrs and 15 mins
Warbreaker,Brandon Sanderson,Length: 24 hrs and 56 mins
The Housemaid's Secret,Freida McFadden,Length: 9 hrs and 44 mins
Dragonslayer,Craig Alanson,Length: 17 hrs and 40 mins
Moby Dick,Herman Melville,Length: 24 hrs and 49 mins
Circe,Madeline Miller,Length: 12 hrs and 8 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
Adventures of Huckleberry Finn: A Signature Performance by Elijah Wood,Mark Twain,Length: 10 hrs and 10 mins
The Adventures of Tom Sawyer,Mark Twain,Length: 7 hrs and 52 mins
Five Families,Selwyn Raab,Length: 33 hrs and 54 mins
Regretting You,Colleen Hoover,Length: 11 hrs and 17 mins
Sacred Sins,Nora Roberts,Length: 10 hrs and 54 mins
Storm Front,Jim Butcher,Length: 8 hrs and 1 min
The 5AM Club,Robin Sharma,Length: 11 hrs and 4 mins
Urban Analytics Is Advancing to Support Energy Transitions,Fernando Ortz,Length: 2 hrs and 5 mins
I'm Glad My Mom Died,Jennette McCurdy,Length: 6 hrs and 26 mins
Daisy Jones & The Six,Taylor Jenkins Reid,Length: 9 hrs and 3 mins
The Three-Body Problem,Cixin Liu,Length: 13 hrs and 26 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
I Will Teach You to Be Rich,Ramit Sethi,Length: 12 hrs and 8 mins
The Thursday Murder Club,Richard Osman,Length: 12 hrs and 26 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
James Earl Jones Reads The Bible: King James Version,Topics Media Group,Length: 17 hrs and 15 mins
Infinite,Jeremy Robinson,Length: 10 hrs and 21 mins
Yours Truly,Abby Jimenez,Length: 11 hrs and 23 mins
Fifty Shades of Grey,E. L. James,Length: 19 hrs and 48 mins
A Good Girl's Guide to Murder,Holly Jackson,Length: 10 hrs and 53 mins
Dead of Winter,Darcy Coates,Length: 11 hrs and 16 mins
Tom Clancy Flash Point,Don Bentley,Length: 11 hrs and 33 mins
A Night to Remember,Walter Lord,Length: 5 hrs and 3 mins
King of Pride,Ana Huang,Length: 11 hrs and 18 mins
Think Again,Adam Grant,Length: 6 hrs and 40 mins
Warrior Fae,"Caroline Peckham,Susanne Valenti",Length: 29 hrs and 37 mins
The Republic of Pirates,Colin Woodard,Length: 13 hrs and 26 mins
People We Meet on Vacation,Emily Henry,Length: 10 hrs and 46 mins
Dark Age,Pierce Brown,Length: 33 hrs and 58 mins
Necessary Losses,Judith Viorst,Length: 13 hrs and 18 mins
The Art Thief,Michael Finkel,Length: 5 hrs and 39 mins
Evolve Your Brain,Joe Dispenza,Length: 18 hrs and 37 mins
The Jane Austen Collection,Jane Austen,Length: 45 hrs
Euphoria,Lily King,Length: 6 hrs and 53 mins
Heart Bones,Colleen Hoover,Length: 8 hrs and 12 mins
